slippery as an eel;aalglatt
congratulation, good wishes;Glückwunsch (m., ¨-e)
glow, smolder (with fire);glühen
blazing heat, glowing fire, embers, live coals;Glut (f., -en)
mercy, clemency, grace, respite;Gnade (f., -n)
gracious, merciful;gnädig
grant, allow, not begrudge;gönnen
patron;Gönner (m., --)
patronizing, condescending;gönnerhaft
Thank God!;Gott sei Dank! 
dig;graben (gräbt, grub, gegraben)
trench, ditch;Graben (m., ¨-)
grassy;grasig
horrible, atrocious;gräßlich
congratulate;gratulieren
ghastly, horrible;grauenhaft
cruel, barbarous;grausam
grisly, gruesome, macabre;grausig
engrave;gravieren
seize, grasp, invent;greifen (greift, griff, gegriffen)
grab at, snatch at;greifen nach
loud, shrill, strident;grell
board, panel, council, body;Gremium (n.)
cricket, whim, silly notion or idea;Grille (f., -n)
grim;grimm
scab;Grind (m., -e)
grin;grinsen
coarse, rude;grob
coarse, rough;grob
gross negligence;grobe Fahrlässigkeit
bawl;grölen
size;Größe (f., -n)
in great measure, mostly;großenteils
extended family;Großfamilie (f., -n)
loud-mouthed;großmäulig
noble, magnanimous, lordly;großmütig
arrogant;großspurig
tolerant, generous, liberal;großzügig
speculate, ponder, brood, mull, meditate;grübeln
tomb, vault;Gruft (f., ¨-e)
ground, basis;Grund (m., ¨-e)
utterly wrong;grundfalsch
foundation, scaffolding, underlying principles;Grundlage (f.)
basic, underlying;grundlegend
background noise, ambient noise;Grundrauschen (n.)
ground rule;Grundregel (f., -n)
fundamental;grundsätzlich
foundation;Grundstein (m., -e)
property line;Grundstückgrenze (f., -n)
formation;Gründung (f., -en)
creepy;gruselig
Greetings!;Grüß Gott! 
look, peep;gucken
propitious, favorable, opportune;günstig
coo (like a dove);gurren
deluge, flush, casting;Guss (m., ¨-e)
good, thing, possession;Gut (n., ¨-er)
I'm well, and you?;Gut, und Ihnen? 
Get well soon!?;Gute Besserung! 
Good night!;Gute Nacht! 
Good evening!;Guten Abend! 
Good morning!;Guten Morgen! 
Hello! Good day!;Guten Tag! 
well-meant;gutgemeinte
trusting, credulous, bona fide;gutgläubig
approve of, sanction, endorse;gutheißen
good natured, sweet tempered;gutmütig
voucher, token, coupon;Gutschein (m., -e)
hair brush;Haarbürste (f., -n)
hair-raising, horrifying;haarsträubend
goods, chattel, belongings;Hab und Gut (n.)
changed my mind;habe mir ander überlegt
have;haben (hat, hatte, gehabt)
are entitled to;haben Anspruch auf
Are you busy?;Haben Sie viel zu tun? 
property, possession, belonging;Habseligkeit (f., -en)
harbor, haven, port;Hafen (m., --)
gruel;Haferschleim (m., -e)
custody, imprisonment;Haft (f.)
stick, cling, adhere;haften
imprisonment;Haftstrafe (f.)
lean, gaunt, scrawny;hager
half-empty;halbleer
halfway, reasonably;halbwegs
half (n.);Hälfte (f., -n)
stem, blade, stalk;Halm (m., -en)
Good luck! Break a leg!;Hals und Beinbruch! 
footing, foothold, step;Halt (m.)
hold, stop, keep;halten (hält, hielt, gehalten)
take a back seat;halten sich bescheiden im Hintergrund
stop (as in bus stop);Haltestelle (f., -n)
stop at nothing;haltmachen vor nichts
demeanor, attitude, posture;Haltung (f., -en)
scoundrel;Halunke (m., -n)
shake hands, handshake (v.);Hände schütteln
trade relationship;Handelsbeziehung (f., -en)
turn violent, lash out, get rough;handgreiflich werden
handle, operate;handhaben
henchman, odd-job man;Handlager (m., --)
plot, action, place of business;Handlung (f., -en)
handshake (n.);Handschlag (m., ¨-e)
hemp, marijuana;Hanf (m.)
slope, inclination, propensity;Hang (m., ¨-e)
hammock;Hängematte (f.)
hang;hängen (hängt, hing, gehangen)
tease;hänseln
hardcover (adj.);hardback
harp;Harfe (f., -n)
rake;harken
innocence, harmlessness, innocuousness;Harmlosigkeit (f.)
hope for;harren
await, wait for;harren auf (akk.)
hard, cruel, severe;hart
hardship, hardness;Härte (f., -n)
tough, persistent, tenacious, obstinate;hartnäckig
snatch at, grab at;haschen nach
hatred;Haß (m.)
rush, scurry, hustle;hasten
had to be …;hätten … werden müssen
exhalation, puff, breath, mist (auf Glas);Hauch (m.)
wafer-thin, flimsy, filmy;hauchdünn
pile up, accumulate;häufen
pile, heap;Haufen (m., --)
frequent, abundant;häufig
main figure, lead;Hauptfigur (f., -en)
main reason, principal reason;Hauptgrund (m., ¨-e)
mainly;hauptsächlich
jackpot, first prize;Haupttreffer (m., --)
homework;Hausaufgabe (pl.)
household, budget (econ.);Haushalt (m.)
domestic, homely;häuslich
skin, hide (n.);Haut (f., ¨-e)
damaged (vessel);havariert
lever;Hebel (m., --)
lift, raise, heave;heben (hebt, hob, gehoben)
army, multitude;Heer (n., -e)
workbook, exercise book;Heft (n., -e)
stapler, binder;Hefter (m., --)
vehement, violent;heftig
bear, foster, harbor;hegen
handle stolen goods, fence;hehlen
fence, receive of stolen goods;Hehler (m., --)
heathen, pagan;heidnisch
unharmed, safe and sound, well;heil
cure, heal, remedy;heilen
home;Heim (n., -e)
domestic, native, indigenous;heimisch
secret, clandestine;heimlich
nostalgia, homesickness;Heimweh (n.)
hoarse;heiser
be named, command;heißen (heißt, hieß, geheißen)
gay, blithe, jocular, jovial;heiter
hero;Held (m., -en)
heroism;Heldentum (n.)
help;helfen (hilft, half, geholfen)
hamper, hinder, hem in, inhibit;hemmen
droop, sag;herabhängen
send up ;heraufschicken
solve, figure out, get;herausbekommen
filter out;herausfiltern
find out;herausfinden
fish out;herausfischen
challenge, dare, provoke, defy;herausfordern
give out, deliver;herausgeben
single out;herausgreifen
tumble out;herauspurzeln
prominent, outstanding;herausragend
come out with, fork over money;herausrücken
put out, expose, turn out to be;herausstellen
showcase something;herausstellen etw. groß
venture out;herauswagen sich
hither, near;herbei
hostel, inn;Herberge (f., -n)
hearth, fireplace, stove;Herd (m., -e)
herd, flock, troop (n.);Herde (f., -n)
course of events;Hergang (m.)
traditional, customary, conventional;herkömmlich
descent, origin, extraction;Herkunft (f.)
derive from;herleiten von
furbish, adapt, spruce or spiff up;herrichten
reign, govern;herrschen
stem from, come from;herrühren von
manufacture, place here;herstellen
drive around;herumfahren
loiter, hang about;herumlungern
seedy, dilapidated;heruntergekommen
download (computer);herunterladen
elicit, bring forth;hervorbringen
emerge, arise;hervorgehen
emerge, clear from, apparent from;hervorgehen aus
stress, emphasize, accentuate, point out;hervorheben
spring up, well out, pour out;hervorquellen
evoke, induce, provoke, incite, cause;hervorrufen
hail a cab;herzbeizuwinken
deeply moving, pathetic, heart-rending;herzergreifend
heart attack, cardiac arrest;Herzinfarkt (m., -en)
duke;Herzog (m., ¨-e)
hurry, rush, hunt, chase;hetzen
hypocritical, two-faced, duplicitous;heuchlerisch
howl, cry;heulen
contemporary, present-day;heutig
nowadays;heutzutage
inferno;Hexenkessel (m.)
in this country;hierzulande
helpful;hilfreich
helpful;hilfsbereit
celestial, heavenly;himmlisch
round trip;Hin- und Rückfahrt
at times, once in a while, now and then;hin und wieder
downstairs (direction);hinab
step down, climb down to;hinabsteigen
ascend, climb up, soar up;hinaufsteigen
in view of, in terms of, with regard to;Hinblick (m.), in Hinblick auf
hinder, obstruct, impede;hindern
impediment, obstacle, hindrance, barrier;Hindernis (n., -sse)
point to, hint at;hindeuten
throughout;hindurch
decrepit;hinfällig
decrepitude;Hinfälligkeit (f., -en)
add;hinfügen
give, addict, dedicate;hingeben
cherish, dedicate or abandon oneself to;hingeben sich
on the other hand;hingegen
limp;hinken
lay down;hinlegen
carry away, ravish, entrance;hinreißen
execute, put to death;hinrichten
sit down;hinsetzen sich
behind, in the back;hinten
one after another, in a row, back to back;hintereinander
scrutinize, question, challenge;hinterfragen
deceive, double-cross;hintergehen
background;Hintergrund (m., ¨-e)
background image;Hintergrundbild (n., -er)
backyard, sandlot;Hinterhof (m., ¨-e)
bequeath, leave a message;hinterlassen
inheritance, bequest;Hinterlassenschaft (f., -en)
down;hinunter
help over;hinweghelfen
point out;hinweisen
shepherd, herdsman;Hirt (m., -en)
historian;Historiker (m.)
heat (n.);Hitze (f.)
hot headed;hitzköpfig
aloft, high overhead;hoch droben
first rate, top, ace;hochkarätig
arrogance, pride, haughtiness;Hochmut (m.)
arrogant;hochmutig
high-ranking;hochrangig
con artist, trickster;Hochstapler (m., --)
soar up;hochsteigen
at most, tops, not more than;höchstens
peak, maximum, peak level;Höchststand (m., ¨-e)
most likely;höchstwahrscheinlich
high grade, premium, high quality;hochwertig
wedding, marriage;Hochzeit (f., -en)
squat, crouch;hocken
stool;Hocker (m., --)
Hopefully!;Hoffentlich! 
hopeless;hoffnungslos
court (v.);hofieren
courtly, courtlike;höfisch
courteous, polite;höflich
height;Höhe (f.)
majestic, regal;hoheitsvoll
scorn, deride;höhnen
sneering;höhnisch
get;holen
lumberjack, logger, woodcutter;Holzfäller (m., --)
fee, honorarium, charge;Honorar (n.)
Oops! Oh oh!;Hoppla! 
horizon, skyline;Horizont (m., -e)
cornea;Hornhaut (f., ¨-e)
auditorium, lecture room or hall;Hörsaal (m.)
acuity, hearing ability;Hörschärfe (f.)
hoard, stockpile;horten
handsome, pretty, attractive;hübsch
helicopter;Hubschrauber (m., --)
piggyback;huckepack
hoof;Huf (m., -en)
hip (anat.);Hüfte (f., -n)
hill;Hügel (m., --)
lobster;Hummer (m., --)
hobble, limp;humpeln
honk, blow a horn;hupen
hurricane;Hurrikan (m.)
slip, dart, flit, scurry;huschen
take care to avoid doing something;hüten sich etwas zu tun
beware of;hüten vor
hut, cottage;Hütte (f., -n)
I thank you!;Ich bedanke mich! 
My name is Schroeder.;Ich heiße Schroeder 
That's not my fault.;Ich kann ja nichts dafür. 
I will inform you.;Ich werde Ihnen Bescheid sagen.
ideal;Ideal (n., -e)
identify;identifizieren
in general, generally speaking;im Allgemeinen
in short;im kurzem
forsake, desert, maroon;im Stich lassen
aplenty, galore;im Überfluss
pale in comparison;im Vergleich verblassen
snack;Imbiß (m., -sse)
matriculate, enroll, register;immatrikulieren sich
immense;immens
nevertheless;immerhin
vaccinate, inoculate;impfen
immunization, vaccination;Impfung (f., -en)
import;importieren
in the distance;in der Ferne
nearby, close to;in der Nähe von
indeed;in der Tat
in this case;in diesem Fall
pickled;in Essig eingelegt
in comparison to;in Gegensätz zu
in a sense, in a way;in gewisser Hinsicht
borderline;in Grenzen
in every respect;in jeder Hinsicht
in some respects;in mancher Hinsicht
in the same vein as;in Venedig
embarrass, abash, inconvenience;in Verlegenheit bringen
in many respects;in vieler Hinsicht
ardent, fervent;inbrünstig
infect;infizieren
in consequence of, owing to;infolge
consequently, hence;infolgedessen
inform ;informieren 
infusion, transfusion;Infusion (f., -en)
engineer (n.);Ingenieur (m., -e)
owner, proprietor, bearer;Inhaber (m., --)
imprison, arrest;inhaftieren
content, topic, subject;Inhalt (m., -e)
inherent;inhärent
initialize;initiieren
domestic, internal;inländisch
stop, pause (speech);innehalten
interior;Innenraum (m., ¨-e)
interior, inside;Innere (n.)
within;innerhalb
to get started;ins Laufen bringen
occupant, passenger, inmate;Insasse (m., -n)
in particular;insbesondere
in private, in secret;insgeheim
in total;insgesamt
interest, attention;Interesse (n., -n)
conflict of interest;Interessenskonflikte (f., -n)
investment;Investition (m., -en)
to what extent;inwiefern
meanwhile, in the meantime;inzwischen
terrestrial, worldly;irdisch
some, any (e.g., some type of);irgendein
someday, some time or other;irgendwann
somehow, anyhow, in any event;irgendwie
somewhere, anywhere;irgendwo
iris (eye);Iris (f.)
ironic;ironisch
confused, crazy;irre
make a mistake;irren sich
insane, deranged;irrsinnig
error;Irrtum (m., ¨-er)
mistaken;irrtümlich
Is it all right with you?;Ist das Ihnen recht? 
Yes! For sure!;Ja, sicher! 
chase;jagen
for years;jahrelang
fair, carnival;Jahrmarkt (m., ¨-e)
Venetian blind, louver;Jalousie (f.)
ever;je
the ... the;"je ... desto; je ...um so"
every;jede
another;jedem
any;jeden
in any event, in any case, anyways;jedenfalls
everyone;jedermann
any time;jederzeit
however;jedoch
ever, anytime;jemals
beyond;jenseits
present, now existing;jetzig
Now I get it.;Jetzt geht mir ein Licht auf. 
momentary, particular, respective;jeweilig
bawl, yell;johlen
juggle;jonglieren mit
anniversary, jubilee;Jubiläum (n.)
itch;jucken
Jewish;jüdisch
youth hostel;Jugendherberge (f., -n)
boy, lad;Junge (m., -n)
maiden flight;Jungfernflug (m., ¨-e)
recently, lately;jüngst
judiciary;Justizgewalt (f.)
practical joke;Jux (m., -e)
cage;Käfig (m., -e)
bald, bare, barren;kahl
cabin;Kajüte (f., -n)
caulk (v. nautical);kalfatern
cold wave or front;Kältewelle (f., -n)
chamber, small room;Kammer (f., -n)
campaign (n.);Kampagne (f., -n)
combat, struggle;kämpfen
channel, canal;Kanal (m., ¨-e)
little pot;Kännchen (n., --)
pot;Kanne (f., -n)
comprehend;kapieren
investment income, capital gain;Kapitalertrag (m., ¨-e)
checkered, checked, plaid;kariert
crimson;karmesinrot
cart, handcart;Karre (f., -n)
carousel, merry-go-round;Karussell (n.)
box office hit;Kassenschlager (m., --)
collect, take in;kassieren
chestnut;Kastanie (f., -n)
cower, squat, crouch;kauern
crouch, squat;kauern sich
business man;Kaufmann (m., Kaufleute)
commercial, mercantile;kaufmännisch
fogy, codger, geezer;Kauz (m.)
cone, pin (bowling);Kegel (m., --)
turn attention to, care to;kehren sich
germ, seed, sprout;Keim (m.)
neither of them;keiner von beiden
cellar, basement;Keller (m., --)
know (by acquaintance);kennen (kennt, kannte, gekannt)
meeting (becoming acquainted);kennenlernen
knowledge;Kenntnis (f., -se)
stamp, signify, characterize, mark;kennzeichnen
capsize, overturn;kentern
fellow, chap, bounder;Kerl (m., -e)
candle;Kerze (f., -n)
cauldron, kettle, boiler;Kessel (m., --)
chain;Kette (f., -n)
watch or guard dog;Kettenhund (m., ¨-e)
pant, gasp;keuchen
p/e ratio;KGV
giggle;kichern
wake (boat);Kielwasser (n.)
baby carriage, stroller, pram;Kinderwagon (m., --)
pillow;Kissen (n., --)
gape, yawn;klaffen
complain;klagen
piteous, rueful, miserable, wretched;kläglich
clasp, clutch, cling;klammern
sound, tone (n.);Klang (m., ¨-e)
come off (e.g., w/o a hitch), flap;klappen
clarity;Klarheit (f.)
gossip;Klatsch (m.)
steal;klauen
written examination, seclusion;Klausur (f., -en)
glue, paste, stick (v.);kleben
clammy, sticky, adhesive, gooey;klebrig
dress (n.);Kleid (f., -er)
pettiness;Kleinlichkeit (f., -en)
provincial;kleinstädtisch
plumber;Klempner (m., --)
climb, scramble, clamber, scale;klettern
climate;Klima (n., -s)
air conditioning;Klimaanlage (f., -n)
climb;klimmen (klimmt, klomm, geklommen)
blade (n.);Klinge (f., -n)
ring, sound;klingen (klingt, klang, geklungen)
clear as day;klipp und klar
rattle, clank, jangle, clink;klirren
cliché, stereotypical;klischeehaft
toilet, john, loo, bathroom;Klo (n., -s)
knock, throb, beat, palpitate;klopfen
block, log (n.);Klotz (m., ¨-e)
cleft, chasm, gulf, divide, abyss;Kluft (f.)
smart;klug
nibble, munch, gnaw;knabbern
crack, reverse engineer, decipher;knacken
